"","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq","Model"
"214",0.000584235778106651,0.000575750927909305,0.0748939976639914,0.000380154811978111,0.0997213732498465,0.000109033890258535,0.605919315492043,"Dry SR"
"215",0.000586186897540228,0.000579870787595044,0.0754074207755619,0.000383022598489105,0.100434929302515,0.000110901216004044,0.600791564073953,"Dry SR+VI"
"216",-3.68182525465378e-05,0.000609696603269794,0.0791870342936208,0.000403356555653195,0.105599035681437,0.00012476575907547,0.561445543257141,"Dry VI"
"217",0.000981865476246241,0.000545422492495502,0.0708365649180868,0.00036089617670134,0.0944719003091553,9.81171124492599e-05,0.64595191272129,"Dry & Wet SR"
"218",0.00121192679889072,0.000546258548368999,0.0709432725261756,0.000361484782783539,0.0946193638730927,9.84645405278652e-05,0.644874897083201,"Dry & Wet SR+VI"
"219",0.000160664222036074,0.000592640881821443,0.0770993446584449,0.000391238077494613,0.102645115864056,0.000114768033258566,0.583294577785967,"Dry & Wet VI"
"220",0.000350857792395236,0.000809285225343326,0.10944539220631,0.000505612101213612,0.140168079443247,0.000178652656496221,0.239061167208194,"PALSAR"
"221",0.000765951223282117,0.000567452177927352,0.0738079363690992,0.000374729737190673,0.0982853086903778,0.0001064696328053,0.616765829355496,"PALSAR & Dry SR"
"222",0.00115870419356008,0.000582153457730505,0.0758206410030811,0.00038380851373097,0.100835233130781,0.000112181040625583,0.596697515378323,"PALSAR & Wet SR"
"223",0.0010026382840154,0.000544536591395286,0.0707684720305438,0.000360004527627255,0.0943186896875785,9.76507285533144e-05,0.647184858333677,"PALSAR & Wet+Dry SR"
"224",0.0012710935034987,0.000544426105613936,0.0706493952860694,0.000360644769283955,0.0943027911217074,9.79385745599288e-05,0.647236003880478,"All"
"225",0.000920893287194869,0.000591439041194185,0.0773684623334155,0.000387667135371182,0.102440971430519,0.000113823957899888,0.58389528467344,"Wet SR"
"226",0.000850608487156808,0.000595489398297613,0.0777590359832906,0.000391240824634141,0.103141858738812,0.000115784236167153,0.578227652820786,"Wet SR+VI"
"227",-0.000163749969141305,0.000641948227445613,0.0837063416030359,0.000422521551520342,0.111185108807861,0.00013271174033558,0.510998179543004,"Wet VI"
